Start Time,End Time,Duration,Name,Model Name,Agent Name,Exam Name,Attempt Id,Questions,Correct,Incorrect,Accuracy,Num Errors,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2024-04-18 11:29:17.036735,2024-04-18 11:32:44.833736,207,gpt-35-turbo - baseline - comprehensive-100,gpt-35-turbo,baseline,comprehensive-100,1,100,54,46,0.54,1,52129,9514,61643,616.43,0.0972215,0.000972215,207.797001,2.07797001
2024-04-18 11:30:01.540088,2024-04-18 11:34:22.899176,261,llama-2-7b-chat - baseline - comprehensive-100,llama-2-7b-chat,baseline,comprehensive-100,1,100,24,76,0.24,0,60262,15620,75882,758.82,0.0418016399999999,0.0004180163999999,261.359088,2.61359088
2024-04-18 11:31:12.333674,2024-04-18 11:35:22.442867,250,gemini-1.0-pro - baseline - comprehensive-100,gemini-1.0-pro,baseline,comprehensive-100,1,100,53,47,0.53,3,50015,10298,60313,603.13,0.0404545,0.000404545,250.109193,2.50109193
2024-04-18 11:30:53.791189,2024-04-18 11:35:33.963001,280,cohere-command-r-plus - baseline - comprehensive-100,cohere-command-r-plus,baseline,comprehensive-100,1,100,58,42,0.58,0,50647,10149,60796,607.96,0.304176,0.00304176,280.171812,2.80171812
2024-04-18 11:32:44.861824,2024-04-18 11:37:15.434765,270,gpt-35-turbo - baseline - aqua-rat-100,gpt-35-turbo,baseline,aqua-rat-100,1,100,54,46,0.54,0,32266,13343,45609,456.09,0.075085,0.00075085,270.572941,2.70572941
2024-04-18 11:34:22.946545,2024-04-18 11:38:29.515056,246,llama-2-7b-chat - baseline - aqua-rat-100,llama-2-7b-chat,baseline,aqua-rat-100,1,100,16,84,0.16,0,37670,15222,52892,528.92,0.02978714,0.0002978714,246.568511,2.46568511
2024-04-18 11:35:22.472649,2024-04-18 11:40:15.033160,292,gemini-1.0-pro - baseline - aqua-rat-100,gemini-1.0-pro,baseline,aqua-rat-100,1,100,54,46,0.54,1,32469,10242,42711,427.11,0.0315975,0.000315975,292.560511,2.92560511
2024-04-18 11:37:15.465383,2024-04-18 11:40:43.057403,207,gpt-35-turbo - baseline - logiqa-en-100,gpt-35-turbo,baseline,logiqa-en-100,1,100,43,57,0.43,0,41909,9976,51885,518.85,0.0828155,0.000828155,207.59202,2.0759202
2024-04-18 11:35:33.999248,2024-04-18 11:41:14.908774,340,cohere-command-r-plus - baseline - aqua-rat-100,cohere-command-r-plus,baseline,aqua-rat-100,1,100,54,46,0.54,0,31291,13289,44580,445.8,0.2932079999999999,0.0029320799999999,340.909526,3.4090952600000004
2024-04-18 11:38:29.541944,2024-04-18 11:42:58.858579,269,llama-2-7b-chat - baseline - logiqa-en-100,llama-2-7b-chat,baseline,logiqa-en-100,1,100,32,68,0.32,1,48235,16774,65009,650.09,0.03632078,0.0003632078,269.316635,2.6931663500000003
2024-04-18 11:40:43.080453,2024-04-18 11:44:52.710166,249,gpt-35-turbo - baseline - lsat-ar-100,gpt-35-turbo,baseline,lsat-ar-100,1,100,26,74,0.26,0,44911,12452,57363,573.63,0.0922704999999999,0.0009227049999999,249.629713,2.4962971300000003
2024-04-18 11:40:15.059282,2024-04-18 11:44:55.207593,280,gemini-1.0-pro - baseline - logiqa-en-100,gemini-1.0-pro,baseline,logiqa-en-100,1,100,44,56,0.44,2,41333,10479,51812,518.12,0.036385,0.00036385,280.148311,2.80148311
2024-04-18 11:41:14.937199,2024-04-18 11:46:16.423169,301,cohere-command-r-plus - baseline - logiqa-en-100,cohere-command-r-plus,baseline,logiqa-en-100,1,100,48,52,0.48,1,40297,11248,51545,515.45,0.289611,0.00289611,301.48597,3.0148597
2024-04-18 11:44:52.726169,2024-04-18 11:48:06.256478,193,gpt-35-turbo - baseline - lsat-lr-100,gpt-35-turbo,baseline,lsat-lr-100,1,100,51,49,0.51,0,46674,8082,54756,547.56,0.0861749999999999,0.0008617499999999,193.530309,1.93530309
2024-04-18 11:30:17.923507,2024-04-18 11:48:26.842134,1088,llama-2-70b-chat - baseline - comprehensive-100,llama-2-70b-chat,baseline,comprehensive-100,1,100,35,65,0.35,0,60262,17646,77908,779.08,0.1240368999999999,0.0012403689999999,1088.918627,10.88918627
2024-04-18 11:42:58.874879,2024-04-18 11:50:42.161749,463,llama-2-7b-chat - baseline - lsat-ar-100,llama-2-7b-chat,baseline,lsat-ar-100,1,100,10,90,0.1,0,51768,32379,84147,841.47,0.0486132899999999,0.0004861328999999,463.28687,4.6328687
2024-04-18 11:48:06.288374,2024-04-18 11:51:32.996426,206,gpt-35-turbo - baseline - lsat-rc-100,gpt-35-turbo,baseline,lsat-rc-100,1,100,65,35,0.65,0,92062,8768,100830,1008.3,0.155629,0.0015562899999999,206.708052,2.06708052
2024-04-18 11:46:16.437170,2024-04-18 11:52:14.008374,357,cohere-command-r-plus - baseline - lsat-ar-100,cohere-command-r-plus,baseline,lsat-ar-100,1,100,25,75,0.25,0,43065,14101,57166,571.66,0.3407099999999999,0.0034070999999999,357.571204,3.5757120400000004
2024-04-18 11:44:55.229626,2024-04-18 11:53:02.238609,487,gemini-1.0-pro - baseline - lsat-ar-100,gemini-1.0-pro,baseline,lsat-ar-100,1,100,27,73,0.27,2,43766,21598,65364,653.64,0.0542799999999999,0.0005428,487.008983,4.87008983
2024-04-18 11:29:39.565060,2024-04-18 11:54:09.206786,1469,gpt-4 - baseline - comprehensive-100,gpt-4,baseline,comprehensive-100,1,100,75,25,0.75,0,51729,9787,61516,615.16,2.13909,0.0213909,1469.641726,14.69641726
2024-04-18 11:51:33.020547,2024-04-18 11:54:27.578071,174,gpt-35-turbo - baseline - sat-en-100,gpt-35-turbo,baseline,sat-en-100,1,100,76,24,0.76,0,123161,7255,130416,1304.16,0.1992515,0.001992515,174.557524,1.74557524
